gene	idE	type	paths	alt_paths	path_species	alt_path_species	path_values	alt_path_values	tr_path	tr_alt_path
TPM1	11_0	I	9_1,11_0,13_0	9_1,13_0	gorilla_gorilla,homo_sapiens,xenopus_tropicalis	gorilla_gorilla,homo_sapiens,xenopus_tropicalis	[0.00015771812463606175, 0.01841690319731393, 0.006149025407515092]	[2.44918415473016e-05, 0.0007747455075462875, 0.001120856697107912]		ENSBTAT00000067328,ENST00000288398,ENST00000317516,ENST00000358278,ENST00000404484,ENST00000559397,ENST00000560959,ENSGGOT00000027330,ENSGGOT00000060629,ENSGGOT00000065148,ENSMMUT00000002246,ENSMMUT00000002247,ENSMUST00000050905,ENSMUST00000113696,ENSMUST00000113697,ENSRNOT00000040808,ENSRNOT00000057641,ENSSSCT00000038839,ENSSSCT00000045362,ENSXETT00000003279
TPM1	11_0	I	1_1,11_0,13_0	1_1,13_0	mus_musculus,monodelphis_domestica,xenopus_tropicalis,bos_taurus,gorilla_gorilla,sus_scrofa,ornithorhynchus_anatinus,homo_sapiens,rattus_norvegicus	mus_musculus,ornithorhynchus_anatinus,monodelphis_domestica,homo_sapiens,xenopus_tropicalis,bos_taurus,rattus_norvegicus	[0.013943795780252167, 0.0004033601660802115, 0.014000851922781655, 0.005451446850309589, 0.0003031420710186991, 0.0006721782009343597, 0.00030525936349390647, 0.03099286049488413, 0.011462970243344688]	[1.3296028131606222e-05, 1.3568964223773112e-07, 1.4851403907386152e-07, 1.49845157176537e-06, 1.6991633919084953e-05, 6.586550292356988e-07, 8.968484586478181e-07]	ENSBTAT00000044796,ENSBTAT00000066573,ENSBTAT00000072971,ENSBTAT00000074743,ENSBTAT00000077656,ENSBTAT00000086339,ENST00000267996,ENST00000334895,ENST00000357980,ENST00000403994,ENST00000558910,ENST00000559556,ENST00000560970,ENST00000561266,ENST00000651577/ENST00000651704,ENSGGOT00000009167,ENSGGOT00000029809,ENSGGOT00000050839,ENSGGOT00000056944,ENSGGOT00000061697,ENSMMUT00000001130,ENSMMUT00000002245,ENSMMUT00000040461,ENSMMUT00000063319,ENSMODT00000018946,ENSMUST00000030185,ENSMUST00000113685,ENSMUST00000113690,ENSMUST00000113695,ENSMUST00000113705,ENSMUST00000113707,ENSOANT00000017774,ENSRNOT00000024493,ENSRNOT00000024575,ENSRNOT00000024617,ENSRNOT00000048044,ENSRNOT00000085894,ENSRNOT00000090288,ENSSSCT00000005049,ENSSSCT00000050713,ENSSSCT00000056861,ENSSSCT00000061453,ENSSSCT00000065037,ENSSSCT00000066338,ENSXETT00000021409	ENSMMUT00000002248,ENSMMUT00000073823
TPM1	11_0	E	1_1,11_0,13_0	1_1,9_0,9_1,13_0	mus_musculus,monodelphis_domestica,xenopus_tropicalis,bos_taurus,gorilla_gorilla,sus_scrofa,ornithorhynchus_anatinus,homo_sapiens,rattus_norvegicus	gorilla_gorilla,homo_sapiens,xenopus_tropicalis	[0.013943795780252167, 0.0004033601660802115, 0.014000851922781655, 0.005451446850309589, 0.0003031420710186991, 0.0006721782009343597, 0.00030525936349390647, 0.03099286049488413, 0.011462970243344688]	[3.3255072166967165e-05, 0.000815147634513138, 0.0013844230371202453]	ENSBTAT00000044796,ENSBTAT00000066573,ENSBTAT00000072971,ENSBTAT00000074743,ENSBTAT00000077656,ENSBTAT00000086339,ENST00000267996,ENST00000334895,ENST00000357980,ENST00000403994,ENST00000558910,ENST00000559556,ENST00000560970,ENST00000561266,ENST00000651577/ENST00000651704,ENSGGOT00000009167,ENSGGOT00000029809,ENSGGOT00000050839,ENSGGOT00000056944,ENSGGOT00000061697,ENSMMUT00000001130,ENSMMUT00000002245,ENSMMUT00000040461,ENSMMUT00000063319,ENSMODT00000018946,ENSMUST00000030185,ENSMUST00000113685,ENSMUST00000113690,ENSMUST00000113695,ENSMUST00000113705,ENSMUST00000113707,ENSOANT00000017774,ENSRNOT00000024493,ENSRNOT00000024575,ENSRNOT00000024617,ENSRNOT00000048044,ENSRNOT00000085894,ENSRNOT00000090288,ENSSSCT00000005049,ENSSSCT00000050713,ENSSSCT00000056861,ENSSSCT00000061453,ENSSSCT00000065037,ENSSSCT00000066338,ENSXETT00000021409	ENSBTAT00000067328,ENST00000288398,ENST00000317516,ENST00000358278,ENST00000404484,ENST00000559397,ENST00000560959,ENSGGOT00000027330,ENSGGOT00000060629,ENSGGOT00000065148,ENSMMUT00000002246,ENSMMUT00000002247,ENSMUST00000050905,ENSMUST00000113696,ENSMUST00000113697,ENSRNOT00000040808,ENSRNOT00000057641,ENSSSCT00000038839,ENSSSCT00000045362,ENSXETT00000003279
TPM1	2_0	I	6_1,2_0,2_1,2_2	6_1,2_2	gorilla_gorilla,homo_sapiens,sus_scrofa	gorilla_gorilla,sus_scrofa,monodelphis_domestica,homo_sapiens,xenopus_tropicalis	[9.128070305327821e-06, 0.0003468447598722687, 2.7733283670996286e-05]	[0.0002593063937872579, 0.0007580700015824231, 0.0006930386945549948, 0.024227736136746718, 0.01851496625624026]	ENSBTAT00000074743,ENST00000357980,ENSGGOT00000029809,ENSMMUT00000002245,ENSSSCT00000050713	ENSBTAT00000044796,ENST00000288398,ENST00000358278,ENST00000403994,ENST00000559556,ENST00000560970,ENST00000610733,ENSGGOT00000009167,ENSGGOT00000049026,ENSGGOT00000054203,ENSGGOT00000056944,ENSGGOT00000060629,ENSGGOT00000061697,ENSMMUT00000001130,ENSMMUT00000002247,ENSMMUT00000002249,ENSMMUT00000040461,ENSMMUT00000063319,ENSMODT00000018946,ENSMUST00000030185,ENSMUST00000050905,ENSMUST00000113685,ENSMUST00000113697,ENSMUST00000113707,ENSRNOT00000024493,ENSRNOT00000024575,ENSRNOT00000048044,ENSRNOT00000057641,ENSRNOT00000085894,ENSRNOT00000090288,ENSSSCT00000005049,ENSSSCT00000061453,ENSXETT00000021409
TPM1	2_0	I	6_1,2_0,2_1,7_1	6_1,7_1	gorilla_gorilla,homo_sapiens	homo_sapiens,xenopus_tropicalis	[2.07607203459701e-05, 0.0007897033151687794]	[2.0398972887228525e-06, 1.5766557948576716e-07]	ENST00000267996,ENST00000559397,ENST00000561266,ENSGGOT00000027330,ENSMMUT00000002246	
TPM1	2_0	E	6_1,2_0,2_1,7_1	6_1,2_2,7_1	gorilla_gorilla,homo_sapiens	monodelphis_domestica,xenopus_tropicalis,gorilla_gorilla,sus_scrofa,homo_sapiens	[2.07607203459701e-05, 0.0007897033151687794]	[0.0004985063149946629, 0.01772190667295523, 0.0002479255293354343, 0.0007462046022625199, 0.02730392663180084]	ENST00000267996,ENST00000559397,ENST00000561266,ENSGGOT00000027330,ENSMMUT00000002246	ENSBTAT00000044796,ENST00000288398,ENST00000358278,ENST00000403994,ENST00000559556,ENST00000560970,ENSGGOT00000009167,ENSGGOT00000049026,ENSGGOT00000054203,ENSGGOT00000056944,ENSGGOT00000060629,ENSGGOT00000061697,ENSMMUT00000001130,ENSMMUT00000002247,ENSMMUT00000002249,ENSMMUT00000040461,ENSMMUT00000063319,ENSMODT00000018946,ENSMUST00000030185,ENSMUST00000050905,ENSMUST00000113685,ENSMUST00000113697,ENSMUST00000113707,ENSRNOT00000024493,ENSRNOT00000024575,ENSRNOT00000048044,ENSRNOT00000057641,ENSRNOT00000085894,ENSRNOT00000090288,ENSSSCT00000005049,ENSSSCT00000061453,ENSXETT00000021409
TPM1	3_0	I	13_0,3_0,2_6	13_0,2_6	gorilla_gorilla,homo_sapiens	gorilla_gorilla,homo_sapiens	[0.00026330416276633563, 0.01686045069619625]	[3.343617450042911e-07, 8.117736723227584e-07]	ENST00000317516,ENST00000334895,ENST00000651577/ENST00000651704,ENSGGOT00000065148	
TPM1	2_4	I	3_0,2_4,10_0	3_0,10_0	homo_sapiens,xenopus_tropicalis	gorilla_gorilla,homo_sapiens,xenopus_tropicalis,ornithorhynchus_anatinus	[0.014054263231226955, 0.002611343846545929]	[3.060086548825181e-05, 0.0017316339663743293, 0.0008339921192640825, 9.4222192634544e-05]		ENST00000267996,ENST00000357980,ENST00000358278,ENST00000404484,ENST00000559397,ENST00000559556,ENSGGOT00000027330,ENSGGOT00000029809,ENSGGOT00000054203,ENSMMUT00000002245,ENSMMUT00000002246,ENSMMUT00000002247,ENSMMUT00000073823,ENSOANT00000017774,ENSXETT00000003279
TPM1	8_0	I	7_1,8_0,8_1,1_1	7_1,1_1	monodelphis_domestica,xenopus_tropicalis,gorilla_gorilla,ornithorhynchus_anatinus,homo_sapiens	gorilla_gorilla,homo_sapiens,mus_musculus	[0.0005795044617339978, 0.01861789665028829, 0.00038046138306201783, 0.0003874366305595641, 0.0274548240085463]	[7.753224169713132e-07, 4.778087504819959e-06, 5.607132702666978e-06]	ENSBTAT00000044796,ENSBTAT00000066573,ENSBTAT00000067328,ENSBTAT00000072971,ENSBTAT00000074743,ENSBTAT00000077656,ENSBTAT00000086339,ENST00000267996,ENST00000288398,ENST00000317516,ENST00000334895,ENST00000357980,ENST00000358278,ENST00000403994,ENST00000404484,ENST00000558910,ENST00000559397,ENST00000559556,ENST00000560959,ENST00000560970,ENST00000561266,ENSGGOT00000009167,ENSGGOT00000027330,ENSGGOT00000029809,ENSGGOT00000050839,ENSGGOT00000054203,ENSGGOT00000056944,ENSGGOT00000060629,ENSGGOT00000061697,ENSGGOT00000065148,ENSMMUT00000001130,ENSMMUT00000002245,ENSMMUT00000002246,ENSMMUT00000002247,ENSMMUT00000002248,ENSMMUT00000040461,ENSMMUT00000063319,ENSMMUT00000073823,ENSMODT00000018946,ENSMUST00000030185,ENSMUST00000050905,ENSMUST00000113685,ENSMUST00000113690,ENSMUST00000113695,ENSMUST00000113696,ENSMUST00000113697,ENSMUST00000113705,ENSMUST00000113707,ENSOANT00000017774,ENSRNOT00000024493,ENSRNOT00000024575,ENSRNOT00000024617,ENSRNOT00000040808,ENSRNOT00000048044,ENSRNOT00000057641,ENSRNOT00000085894,ENSRNOT00000090288,ENSSSCT00000005049,ENSSSCT00000038839,ENSSSCT00000045362,ENSSSCT00000050713,ENSSSCT00000056861,ENSSSCT00000061453,ENSSSCT00000065037,ENSSSCT00000066338,ENSXETT00000003279,ENSXETT00000021409	
TPM1	9_0	I	1_1,9_0,9_1,11_0	1_1,11_0	gorilla_gorilla,homo_sapiens,xenopus_tropicalis	mus_musculus,monodelphis_domestica,xenopus_tropicalis,bos_taurus,gorilla_gorilla,sus_scrofa,ornithorhynchus_anatinus,homo_sapiens,rattus_norvegicus	[2.209113438321095e-05, 0.00044195330658619407, 0.0008289823028347056]	[0.01140413142034997, 0.0004030698636498911, 0.015713628259069957, 0.004102248167958097, 0.00029301185874506397, 0.0005989860558586936, 0.0003050148572796457, 0.025180271446832794, 0.012439498337354237]		ENSBTAT00000044796,ENSBTAT00000066573,ENSBTAT00000072971,ENSBTAT00000074743,ENSBTAT00000077656,ENSBTAT00000086339,ENST00000267996,ENST00000334895,ENST00000357980,ENST00000403994,ENST00000558910,ENST00000559556,ENST00000560970,ENST00000561266,ENST00000651577/ENST00000651704,ENSGGOT00000009167,ENSGGOT00000029809,ENSGGOT00000050839,ENSGGOT00000056944,ENSGGOT00000061697,ENSMMUT00000001130,ENSMMUT00000002245,ENSMMUT00000040461,ENSMMUT00000063319,ENSMODT00000018946,ENSMUST00000030185,ENSMUST00000113685,ENSMUST00000113690,ENSMUST00000113695,ENSMUST00000113705,ENSMUST00000113707,ENSOANT00000017774,ENSRNOT00000024493,ENSRNOT00000024575,ENSRNOT00000024617,ENSRNOT00000048044,ENSRNOT00000085894,ENSRNOT00000090288,ENSSSCT00000005049,ENSSSCT00000050713,ENSSSCT00000056861,ENSSSCT00000061453,ENSSSCT00000065037,ENSSSCT00000066338,ENSXETT00000021409
